BROAD BASED-INDICES,SECTOR-INDICES,NIFTY 50-STOCKS,NIFTY 100-STOCKS,NIFTY 200-STOCKS,F&O-STOCKS
,,,,SHRIRAMFIN,GODREJIND
,,,,SIEMENS,GODREJPROP
,,,,SONACOMS,GRANULES
,,,,SBIN,GRASIM
,,,,SAIL,GSFC
,,,,SUNPHARMA,GSKCONS
,,,,SUNTV,GSPL
,,,,SYNGENE,GTL
,,,,TVSMOTOR,GTLINFRA
,,,,TATACHEM,GTOFFSHORE
,,,,TATACOMM,GUJALKALI
,,,,TCS,GUJAMBCEM
,,,,TATACONSUM,GUJFLUORO
,,,,TATAELXSI,GUJGASLTD
,,,,TATAMTRDVR,GVKPIL
,,,,TATAMOTORS,HAL
,,,,TATAPOWER,HAVELLS
,,,,TATASTEEL,HCC
,,,,TECHM,HCL-INSYS
,,,,RAMCOCEM,HCLTECH
,,,,TITAN,HDFC
,,,,TORNTPHARM,HDFCAMC
,,,,TORNTPOWER,HDFCBANK
,,,,TRENT,HDFCLIFE
,,,,TIINDIA,HDIL
,,,,UPL,HEROHONDA
,,,,ULTRACEMCO,HEROMOTOCO
,,,,UNIONBANK,HEXAWARE
,,,,UBL,HINDALC0
,,,,MCDOWELL-N,HINDALCO
,,,,VBL,HINDCOPPER
,,,,VEDL,HINDLEVER
,,,,IDEA,HINDOILEXP
,,,,VOLTAS,HINDPETRO
,,,,WIPRO,HINDUJATMT
,,,,YESBANK,HINDUJAVEN
,,,,ZEEL,HINDUNILVR
,,,,ZOMATO,HINDZINC
,,,,ZYDUSLIFE,HONAUT
,,,,,HOTELEELA
,,,,,HTMT
,,,,,HTMTGLOBAL
,,,,,I-FLEX
,,,,,IBN18
,,,,,IBREALEST
,,,,,IBULHSGFIN
,,,,,ICICIBANK
,,,,,ICICIGI
,,,,,ICICIPRULI
,,,,,ICIL
,,,,,ICSA
,,,,,IDBI
,,,,,IDEA
,,,,,IDFC
,,,,,IDFCBANK
,,,,,IDFCFIRSTB
,,,,,IEX
,,,,,IFCI
,,,,,IGL
,,,,,INDHOTEL
,,,,,INDIACEM
,,,,,INDIAINFO
,,,,,INDIAMART
,,,,,INDIANB
,,,,,INDIAVIX
,,,,,INDIGO
,,,,,INDUSINDBK
,,,,,INDUSTOWER
,,,,,INFIBEAM
,,,,,INFOSYSTCH
,,,,,INFRATEL
,,,,,INFY
,,,,,INTELLECT
,,,,,IOB
,,,,,IOC
,,,,,IPCALAB
,,,,,IPCL
,,,,,IRB
,,,,,IRCTC
,,,,,ISPATIND
,,,,,ITC
,,,,,IVRCLINFRA
,,,,,IVRPRIME
,,,,,J&KBANK
,,,,,JETAIRWAYS
,,,,,JINDALSAW
,,,,,JINDALSTEL
,,,,,JINDALSWHL
,,,,,JISLJALEQS
,,,,,JKCEMENT
,,,,,JPASSOCIAT
,,,,,JPHYDRO
,,,,,JPPOWER
,,,,,JSL
,,,,,JSTAINLESS
,,,,,JSWENERGY
,,,,,JSWISPAT
,,,,,JSWSTEEL
,,,,,JUBLFOOD
,,,,,JUNIOR
,,,,,JUSTDIAL
,,,,,KAJARIACER
,,,,,KESORAMIND
,,,,,KFA
,,,,,KLGSYSTEL
,,,,,KOTAKBANK
,,,,,KPIT
,,,,,KSCL
,,,,,KSK
,,,,,KSOILS
,,,,,KTKBANK
,,,,,L&TFH
,,,,,LALPATHLAB
,,,,,LAURUSLABS
,,,,,LAXMIMACH
,,,,,LICHSGFIN
,,,,,LITL
,,,,,LT
,,,,,LTI
,,,,,LTIM
,,,,,LTTS
,,,,,LUPIN
,,,,,M&M
,,,,,M&MFIN
,,,,,MAHLIFE
,,,,,MAHSEAMLES
,,,,,MANAPPURAM
,,,,,MARICO
,,,,,MARUTI
,,,,,MATRIXLABS
,,,,,MAX
,,,,,MCDOWELL-N
,,,,,MCLEODRUSS
,,,,,MCX
,,,,,MERCATOR
,,,,,METROPOLIS
,,,,,MFSL
,,,,,MGL
,,,,,MIC
,,,,,MICO
,,,,,MIDCPNIFTY
,,,,,MINDTREE
,,,,,MINIFTY
,,,,,MLL
,,,,,MONNETISPA
,,,,,MOSERBAER
,,,,,MOTHERSON
,,,,,MOTHERSUMI
,,,,,MPHASIS
,,,,,MRF
,,,,,MRPL
,,,,,MTNL
,,,,,MUNDRAPORT
,,,,,MUTHOOTFIN
,,,,,NAGARCONST
,,,,,NAGARFERT
,,,,,NAGAROIL
,,,,,NAM-INDIA
,,,,,NATIONALUM
,,,,,NAUKRI
,,,,,NAVINFLUOR
,,,,,NBCC
,,,,,NBVENTURES
,,,,,NCC
,,,,,NDTV
,,,,,NESTLEIND
,,,,,NETWORK18
,,,,,NEYVELILIG
,,,,,NFTYMCAP50
,,,,,NHPC
,,,,,NICOLASPIR
,,,,,NIFTY
,,,,,NIFTYCPSE
,,,,,NIFTYINFRA
,,,,,NIFTYIT
,,,,,NIFTYMID50
,,,,,NIFTYPSE
,,,,,NIITLTD
,,,,,NIITTECH
,,,,,NMDC
,,,,,NOIDATOLL
,,,,,NSE10Y06
,,,,,NSE10YZC
,,,,,NSETB91D
,,,,,NTPC
,,,,,NUCLEUS
,,,,,OBEROIRLTY
,,,,,OFSS
,,,,,OIL
,,,,,OMAXE
,,,,,ONGC
,,,,,ONMOBILE
,,,,,OPTOCIRCUI
,,,,,ORBITCORP
,,,,,ORCHIDCHEM
,,,,,ORIENTBANK
,,,,,PAGEIND
,,,,,PANTALOONR
,,,,,PARSVNATH
,,,,,PATELENG
,,,,,PATNI
,,,,,PCJEWELLER
,,,,,PEL
,,,,,PENINLAND
,,,,,PERSISTENT
,,,,,PETRONET
,,,,,PFC
,,,,,PFIZER
,,,,,PIDILITIND
,,,,,PIIND
,,,,,PIRHEALTH
,,,,,PNB
,,,,,POLARIS
,,,,,POLYCAB
,,,,,POWERGRID
,,,,,PRAJIND
,,,,,PRISMCEM
,,,,,PTC
,,,,,PUNJLLOYD
,,,,,PURVA
,,,,,PVR
,,,,,PVRINOX
,,,,,RAIN
,,,,,RAJESHEXPO
,,,,,RAMCOCEM
,,,,,RANBAXY
,,,,,RAYMOND
,,,,,RBLBANK
,,,,,RCOM
,,,,,RDEL
,,,,,RECLTD
,,,,,REDINGTON
,,,,,REL
,,,,,RELCAPITAL
,,,,,RELIANCE
,,,,,RELINFRA
,,,,,RELMEDIA
,,,,,RENUKA
,,,,,REPCOHOME
,,,,,RIIL
,,,,,RNAVAL
,,,,,RNRL
,,,,,ROLTA
,,,,,RPL
,,,,,RPOWER
,,,,,RUCHISOYA
,,,,,S&P500
,,,,,SAIL
,,,,,SAMRUDDHI
,,,,,SASKEN
,,,,,SATYAMCOMP
,,,,,SBICARD
,,,,,SBILIFE
,,,,,SBIN
,,,,,SCI
,,,,,SESAGOA
,,,,,SHREECEM
,,,,,SHRIRAMFIN
,,,,,SIEMENS
,,,,,SINTEX
,,,,,SKSMICRO
,,,,,SKUMARSYNF
,,,,,SOBHA
,,,,,SOUTHBANK
,,,,,SREINFRA
,,,,,SREINTFIN
,,,,,SRF
,,,,,SRTRANSFIN
,,,,,SSLT
,,,,,STAR
,,,,,STER
,,,,,STERLINBIO
,,,,,STROPTICAL
,,,,,STRTECH
,,,,,SUNPHARMA
,,,,,SUNTV
,,,,,SUZLON
,,,,,SYNDIBANK
,,,,,SYNGENE
,,,,,TATACHEM
,,,,,TATACOFFEE
,,,,,TATACOMM
,,,,,TATACONSUM
,,,,,TATAELXSI
,,,,,TATAGLOBAL
,,,,,TATAMOTORS
,,,,,TATAMTRDVR
,,,,,TATAPOWER
,,,,,TATASTEEL
,,,,,TATATEA
,,,,,TCS
,,,,,TECHM
