Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,CalenderMonthDay,CalenderYearDay,TradingMonthDay,TradingYearDay,EvenCalenderMonthDay,EvenCalenderYearDay,EvenTradingMonthDay,EvenTradingYearDay,ReturnPoints,ReturnPercentage,PositiveDay,MondayWeeklyDate,MondayWeekNumberMonthly,MondayWeekNumberYearly,EvenMondayWeekNumberMonthly,EvenMondayWeekNumberYearly,MondayWeeklyReturnPoints,MondayWeeklyReturnPercentage,PositiveMondayWeek,ExpiryWeeklyDate,ExpiryWeekNumberMonthly,ExpiryWeekNumberYearly,EvenExpiryWeekNumberMonthly,EvenExpiryWeekNumberYearly,ExpiryWeeklyReturnPoints,ExpiryWeeklyReturnPercentage,PositiveExpiryWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2020-04-09,SBICARD,585.05,614.25,575.0,595.2,6139709,3654354944,Thursday,9,100,5,,False,True,False,False,15.700000000000045,2.71,True,2020-04-06,1,,False,,4.9500000000000455,0.84,True,2020-04-09,2,,True,,-12.849999999999909,-2.11,False,True,-19.5,-3.15,False,True,,,False
2020-04-13,SBICARD,580.0,581.5,501.1,505.5,22874756,11563189248,Monday,13,104,6,,False,True,True,False,-89.70000000000005,-15.07,False,2020-04-13,2,,True,,-64.70000000000005,-10.87,False,2020-04-16,3,,False,,-63.10000000000002,-10.6,False,True,-19.5,-3.15,False,True,,,False
2020-04-15,SBICARD,510.0,524.45,502.0,504.65,8436966,4257714944,Wednesday,15,106,7,,False,True,False,False,-0.8500000000000227,-0.17,False,2020-04-13,2,,True,,-64.70000000000005,-10.87,False,2020-04-16,3,,False,,-63.10000000000002,-10.6,False,True,-19.5,-3.15,False,True,,,False
2020-04-16,SBICARD,505.0,537.2,501.0,532.1,8012609,4263508992,Thursday,16,107,8,,True,False,True,False,27.450000000000045,5.44,True,2020-04-13,2,,True,,-64.70000000000005,-10.87,False,2020-04-16,3,,False,,-63.10000000000002,-10.6,False,True,-19.5,-3.15,False,True,,,False
2020-04-17,SBICARD,546.0,548.8,523.0,530.5,6750064,3580909056,Friday,17,108,9,,False,True,False,False,-1.6000000000000227,-0.3,False,2020-04-13,2,,True,,-64.70000000000005,-10.87,False,2020-04-23,4,,True,,28.850000000000023,5.42,True,True,-19.5,-3.15,False,True,,,False
2020-04-20,SBICARD,534.75,548.9,528.5,540.1,5766967,3114738688,Monday,20,111,10,,True,False,True,False,9.600000000000023,1.81,True,2020-04-20,3,,False,,27.350000000000023,5.16,True,2020-04-23,4,,True,,28.850000000000023,5.42,True,True,-19.5,-3.15,False,True,,,False
2020-04-21,SBICARD,528.9,534.9,518.0,525.9,3249487,1708905344,Tuesday,21,112,11,,False,True,False,False,-14.200000000000045,-2.63,False,2020-04-20,3,,False,,27.350000000000023,5.16,True,2020-04-23,4,,True,,28.850000000000023,5.42,True,True,-19.5,-3.15,False,True,,,False
2020-04-22,SBICARD,527.0,535.7,520.1,532.4,2719280,1447744768,Wednesday,22,113,12,,True,False,True,False,6.5,1.24,True,2020-04-20,3,,False,,27.350000000000023,5.16,True,2020-04-23,4,,True,,28.850000000000023,5.42,True,True,-19.5,-3.15,False,True,,,False
2020-04-23,SBICARD,539.0,574.0,535.0,560.95,4983406,2795441664,Thursday,23,114,13,,False,True,False,False,28.550000000000068,5.36,True,2020-04-20,3,,False,,27.350000000000023,5.16,True,2020-04-23,4,,True,,28.850000000000023,5.42,True,True,-19.5,-3.15,False,True,,,False
2020-04-24,SBICARD,557.7,596.45,552.1,557.85,7824080,4364662784,Friday,24,115,14,,True,False,True,False,-3.1000000000000227,-0.55,False,2020-04-20,3,,False,,27.350000000000023,5.16,True,2020-04-30,5,,False,,38.19999999999993,6.81,True,True,-19.5,-3.15,False,True,,,False
